"Statutaire naam";"Handelsnaam";"Statutaire zetel"
"100% Hypotheken B.V.";"100% Hypotheken B.V.";"DONGEN"
"100% Pensioen & Advies";"100% Pensioen & Advies";"Honselersdijk"
"100% Verzekerd B.V.";"100% Verzekerd B.V.";"GEMEENTE DONGEN"
"100% Werkgeverscoach B.V.";"100% Werkgeverscoach B.V., werkgeverscoach";"ZOETERMEER"
"123 Autofinanciering B.V.";"123 Autofinanciering B.V.";"HAARLEM"
"123Advies";"123Advies, XSadvies, XSadvies.nl, 123Advies, 123Advies.nl";"Apeldoorn"
"123Advies B.V.";"123Advies B.V.";"GEMEENTE APELDOORN"
"12Cycle - 12Fix";"12Cycle - 12Fix";"Ameide"
"12GO Trading B.V.";"12GO Trading B.V., 12GO Trading B.V.";"WADDINXVEEN"
"14CT";"14CT";"Parijs"
"1818 Partenaires";"1818 Partenaires";"PARIJS"
"2 Wielers Martin Jeuring";"2 Wielers Martin Jeuring";"Nieuw-Amsterdam"
"2 wielersparkstad";"2 wielersparkstad, Klussenbedrijf Math Schröders";"Eygelshoven"
"24/7 Insurance";"24/7 Insurance, 24/7 Insurance, 24 7 Verzekeringen, adriaan advies en mediation, adriaan pals, you and me mediation";"Emmen"
"24/7 VvE Beheer B.V.";"24/7 VvE Beheer B.V.";"SPIJKENISSE"
"24Vision Insurance Solutions NV";"24Vision Insurance Solutions NV";"Kalmthout"
"24Vision Shipping & Cargo Risk Solutions NV";"24Vision Shipping & Cargo Risk Solutions NV";"Brasschaat"
"2AM ASSURANCES";"2AM ASSURANCES";"PARIS"
"2B/Sure B.V.";"2B/Sure B.V.";"GEMEENTE MIDDEN-DELFLAND"
"2-Contact Direct Marketing B.V.";"2-Contact Direct Marketing B.V.";"HAARLEM"
"2Contact Telemarketing B.V.";"2Contact Telemarketing B.V.";"HAARLEM"
"2FreeDom Arbeid-Organisatie & Advies";"2FreeDom Arbeid-Organisatie & Advies, 2FreeDom Arbeid-Organisatie & Advies";"Sprundel"
"2Gather Financial B.V.";"2Gather Financial B.V., Uw Financieel Plan, Provisievrij Verzekeren";"TILBURG"
"2H Wealthcare LLP";"2H Wealthcare LLP";"BEACONSFIELD - BUCKINGHAMSHIRE"
"2RA B.V.";"2RA B.V.";"PURMEREND"
"2Wheels";"2Wheels";"Rijnsburg"
"2Wielercentrum Beuningen";"2Wielercentrum Beuningen";"Beuningen Gld"
"2wielercentrum Joure";"2wielercentrum Joure";"Joure"
"2wielerreus";"2wielerreus";"Goor"
"3 Capital SRL";"3 Capital SRL";""
"34A BVBA";"34A BVBA";""
"360 Financieel Adviseurs B.V.";"360 Financieel Adviseurs B.V.";"HENGELO (O)"
"365 Travel Technology B.V.";"365 Travel Technology B.V.";"DELFT"
"3AO PATRMOINE";"3AO PATRMOINE";"Parijs"
"3AO PATRMOINE EXPERTISE";"3AO PATRMOINE EXPERTISE";"Parijs"
"3Assurantiën";"3Assurantiën";"Zaandam"
"3D Financieel Advies";"3D Financieel Advies";"Nieuwegein"
"3D Global Insurance Advisors, Agents and sub-agents Ltd";"3D Global Insurance Advisors, Agents and sub-agents Ltd";"LIMASSOL"
"3HR Insurance Broking Limited";"3HR Insurance Broking Limited";"LONDON"
"3in1 Adviesbureau";"3in1 Adviesbureau, 3in1Adviesbureau";"Valkenswaard"
"3-kant Vernooij";"3-kant Vernooij";"ARNHEM"
"4 All Hypothekenbedrijf B.V.";"4 All Hypothekenbedrijf B.V., De Hypotheekshop Geleen";"GELEEN"
"4 Assurance B.V.";"4 Assurance B.V., 4 Assurance B.V.";"NIJMEGEN"
"4 Sure & Partners B.V.";"4 Sure & Partners B.V.";"GEMEENTE BRUNSSUM"
"4 The Kick B.V.";"4 The Kick B.V.";"VELSERBROEK"
"4 THE RECORD COMPLIANCE LTD";"4 THE RECORD COMPLIANCE LTD";"London"
"4 You-adviesgroep";"4 You-adviesgroep, 4-all advies";"Geleen"
"4C Financial Services B.V.";"4C Financial Services B.V.";"AMSTERDAM"
"4mal4 Maschinenversicherungsservice GmbH";"4mal4 Maschinenversicherungsservice GmbH";"Wien"
"4U2 Invest BVBA";"4U2 Invest BVBA";"Zuienkerke"
"4x4-Verzekeringen B.V.";"4x4POLIS.NL, HIPPO-POLIS.NL, INKOMSTEN-WAARBORG-PLAN (Nederland), 4x4-Verzekeringen B.V.";"BAARN"
"50CC Scooterparts";"50CC Scooterparts, 50CC Scooterparts";"VEEN"
"A & A Assurantie & Advies B.V.";"A & A Assurantie & Advies B.V., A&A Assurantie en Advies";"BREDA"
"A & B Verzekeringen";"A & B Verzekeringen, A & B Verzekeringen";"Monster"
"A & F Financieel Advies";"A & F Financieel Advies";"Tiel"
"A & L Krekenburg Holding B.V.";"A & L Krekenburg Holding B.V., Autobedrijf Ad v/den Hadelkamp B.V.";"GEMEENTE MONTFOORT"
"A & O Bewindvoering & Budgetbeheer V.O.F.";"A & O Bewindvoering & Budgetbeheer V.O.F.";"Heerhugowaard"
"A & S Financieel Adviseurs Amersfoort B.V.";"A & S Financieel Adviseurs Amersfoort B.V.";"AMERSFOORT"
"A & S Financieel Adviseurs B.V.";"Aalten & Smits Financieel Adviseurs bv, A & S Financieel Adviseurs bv, A & S Financieel Adviseurs B.V., A en S Makelaars";"HILVERSUM"
"A + R Verwaltungsgesellschaft mbH";"A + R Verwaltungsgesellschaft mbH";""
"A and P Worldwide Solutions Ltd";"A and P Worldwide Solutions Ltd";""
"A bis Z Versicherungs Service GmbH";"A bis Z Versicherungs Service GmbH";""
"A de B FA";"A de B FA";"Amsterdam"
"A ET ASSOCIES CONSEILS";"A ET ASSOCIES CONSEILS";"Aix en Provence"
"A La Carte Healthcare Limited";"A La Carte Healthcare Limited";"STEYNING - WEST SUSSEX"
"A P I";"A P I";"PARIS"
"A PLUS INTERNATIONAL HEALTHCARE";"A PLUS INTERNATIONAL HEALTHCARE";""
"A Plus Minicars";"A Plus Minicars, A Plus Minicars";"Nieuwveen"
"A&A Adviespartners B.V.";"AA Online, AA OnlineVerzekeren, A&A Online, A&A OnlineVerzekeren, AA Direct, AA DirectVerzekeren, A&A Direct, A&A DirectVerzekeren, AA Geldlening, A&A Geldlening, AA Hypotheken, De Financiële Adviespraktijk, A&A Assurantiën, A&A Financieringen, A&A Vastgoed, A&A Makelaardij, A&A Verzekeringen, A&A Hypotheken, PLURIJN, 0223verzekerd, 0224verzekerd, 0226verzekerd, 0227verzekerd, 072verzekerd, 040verzekerd, 030verzekerd, 055verzekerd, 050verzekerd, 035verzekerd, 026verzekerd, 015verzekerd, 071verzekerd, 078verzekerd, 079verzekerd, 073verzekerd, 043verzekerd, 024verzekerd, 053verzekerd, 038verzekerd, 020verzekerd, 010verzekerd, 070verzekerd, 023verzekerd, 075verzekerd, netnummerverzekerd, kengetalverzekerd, Plurijn Financiële Zorgverlener, Plurijn Budgetcoach, Plurijn Bewindvoering, Plurijn Nabestaandencoach, Plurijn Seniorenadministratie, Online-Hypotheekadvies, Online Finance Services, Persoonlijk Online Hypotheekadvies, A&A Adviespartners BV, De Financialdesk, De Hypotheekdesk, De Verzekeringsdesk, A&A Adviespartners B.V.";"DEN HELDER"
"A&A Financieel Advies";"A&A Financieel Advies, A&A Financieel Advies";"Barendrecht"
"A&H Advies B.V.";"A&H Advies B.V.";"ALMERE"
"A&M Financial Services Ltd";"A&M Financial Services Ltd";""
"A&S Financieel Advies";"A&S Financieel Advies, A&S Financieel Advies, A&S FinancieelAdvies";"Geleen"
"A,Bilbrough & Co Ltd";"A,Bilbrough & Co Ltd";""
"A. Braber Holding B.V.";"A. Braber Holding B.V.";"EDE GLD"
"A. Goedhart Sigarenmagazijn B.V.";"A. Goedhart Sigarenmagazijn B.V., A. Goedhart Sigarenmagazijn B.V.";"AMSTERDAM"
"A. Hoogendoorn Assurantien";"A Hoogendoorn Assurantien, A. Hoogendoorn Assurantien";"Nieuwegein"
"A. Janson";"A. Janson";"Breda"
"A. Janssens en Zonen B.V.";"A. Janssens en Zonen B.V.";"WAGENBERG"
"A. Kriesch Assurantien";"A. Kriesch Assurantien";"Burgh-Haamstede"
"A. Reijnen-van der Velden Assurantie- en Administratiekantoor";"A. Reijnen-van der Velden Assurantie- en Administratiekantoor, A. Reijnen-van Velden Assurantiekantoor";"'s-Gravenhage"
"A. Schipper Financiële Diensten";"Hypotheek-Zorg, A. Schipper Financiële Diensten";"Maassluis"
"A. Tak";"A. Tak";"Rucphen"
"A. van Beek & Zn. B.V.";"A. van Beek & Zn B.V., A. van Beek & Zn. BV, Autobedrijf van Koulil, Autobedrijf A. van Beek & Zn. B.V., Autobedrijf van Koulil, A. van Beek & Zn. B.V.";"OUDENBOSCH"
"A. van Brakel Adviezen";"A. van Brakel Adviezen, A van Brakel Adviezen";"Delfgauw"
"A. van de Garde-Bink t.h.o.d.n. Bruna Tilburg Westermarkt";"A. van de Garde-Bink t.h.o.d.n. Bruna Tilburg Westermarkt";"TILBURG"
"A. van de Hoef Verzekeringen";"A. van de Hoef Verzekeringen, A. van de Hoef Verzekeringen, Mijn Zorgpolis Online";"Scherpenzeel"
"A. van de Visch Tweewielers V.O.F.";"A. van de Visch Tweewielers V.O.F., A. v.d. Visch Tweewielers";"Barneveld"
"A. van der Wolff Verzekeringen";"A. van der Wolff Verzekeringen, A.van der Wolff verzekeringen";"Oostwoud"
"A. van Drimmelen Beheer B.V.";"A. van Drimmelen Beheer B.V.";"ZEVENBERGEN"
"A. van Duinkerken Financieel Advies";"A. van Duinkerken Financieel Advies";"Huizen"
"A. van Gastel B.V.";"Dealerverzekerd, Stibbemeyster, Ivaio, A. van Gastel B.V., Het Bespaarhuis";"ROTTERDAM"
"A. van Raad V.O.F.";"A. van Raad V.O.F.";"WOUBRUGGE"
"A. Werkman Tweewielers V.O.F..";"A. Werkman Tweewielers V.O.F..";"Ede"
"A. Wouda Assurantiën";"A. Wouda Assurantiën, De Autoverzekeraar";"Den Helder"
"A.A. Assurantiën";"A.A. Assurantiën";"Zoetermeer"
"A.A. Financieel Advies B.V.";"A.A. Financieel Advies B.V., Afinam Assurantiën, Afinam Financieel Advies, Afinam Financieringen, Afinam Hypotheken, Afinam Scheepshypotheken";"NIJKERK"
"A.A. Schenk t.h.o.d.n. Bruna Muntplein";"A.A. Schenk t.h.o.d.n. Bruna Muntplein";"Nieuwegein"
"A.A.M. Financieel advies";"A.A.M. Financieel advies";"Utrecht"
"A.A.M. van Koulil B.V.";"A.A.M. van Koulil B.V.";"SPRUNDEL"
"A.A.P. Verzekeringen B.V.";"A & A  Advies & autoverzekeringen, A & A Advies, A & A Advies & Autoverzekeringen, A & A Autoverzekeringen, A & A Consumentenlijn, A & A Uitvaarbegeleiders, A & A Uitvaart, A & A uitvaartbegeleiders, A & A uitvaartverzekeringen, A & A ziektekosten consumentenlijn, A.A.P Verzekeringen, A.A.P. Collectief, A.A.P. Verzekeringen, A.A.P. Verzekeringen A en A Autoverzekeringen, Assurantiecollectief, Autoverzekering  Consumentenlijn, Autoverzekering Consumentenlijn, F.M., Goedkoopste autoverzekering, Goedkoopste verzekering, Intercollectief, Online Autoerzekeringen, online Autoverzekeringen, Polis 4, www.goedkoopsteautoverzekering.nl, A.A.P. Verzekeringen B.V.";"RODEN, GEMEENTE NOORDENVELD"
"A.A.S. Financiële Diensten";"A.A.S. Financiële Diensten, Huiberts Interim Management";"Zuidlaren"
"A.A.Z. Adviesgroep B.V.";"A.A.Z. Adviesgroep B.V., AAZ adviesgroep bv";"ZEVENBERGEN"
"A.B. Meijers & Partners B.V.";"Meijers & Partners bv, A.B. Meijers & Partners B.V.";"AMSTERDAM"
"A.B.H. Amsterdams Bromfiets Huis";"A.B.H. Amsterdams Bromfiets Huis";"Amsterdam"
"A.B.W. Volmacht B.V.";"A.B.W. Volmacht B.V.";"DORDRECHT"
"A.C. Koijen & Partners Hypotheken              Pensioenen en Verzekeringen";"A.C. Koijen & Partners Hypotheken              Pensioenen en Verzekeringen";"Breda"
"A.C.G.H. Scheenstra/J. Scheenstra-van Dijk tevens handelend onder de naam Primera";"A.C.G.H. Scheenstra/J. Scheenstra-van Dijk tevens handelend onder de naam Primera, A.C.G.H. Scheenstra/J. Scheenstra-van Dijk tevens handelend onder de naam Primera";"Rijen"
"A.C.I. Zorg&Verzuim";"be-insured, A.C.I. Zorg&Verzuim, A.C.I. Zorg & Verzuim";"Odoorn"
"A.C.I.C. Kredietversicherungsmakler GmbH";"A.C.I.C. Kredietversicherungsmakler GmbH";"WIEN"
"A.C.S.L. B.V.";"A.C.S.L. B.V.";"GEMEENTE EMMEN"
"A.C.S.L. Stadskanaal B.V.";"A.C.S.L. Stadskanaal B.V.";"STADSKANAAL"
"A.F.A.B. verzekeringen v.o.f.";"A.F.A.B. verzekeringen v.o.f., A.F.A.B.-verzekeringen v.o.f.";"Alphen aan den Rijn"
"A.G. de Gouw Adviesgroep B.V.";"A.G. de Gouw, A.G. de Gouw Adviesgroep B.V., AGDEGOUW";"VLIJMEN"
"A.G. Verscicherungsmakler Verwaltungs GmbH";"A.G. Verscicherungsmakler Verwaltungs GmbH";"Freiburg im Breisgau"
"A.G.M. Splinter Beheer B.V.";"A.G.M. Splinter Beheer B.V.";"BUSSUM"
"A.H. Schippers Assurantiën";"Schippers Assurantien & Hypotheken, Schippers Assurantiën, A.H. Schippers Assurantiën";"Zoetermeer"
"A.H. Stokhof B.V.";"A.H. Stokhof B.V., A.H. Stokhof B.V.";"EMST, GEMEENTE EPE"
"A.I.B. (Associated Insurance Brokers) Luxembourg S.A.";"A.I.B. (Associated Insurance Brokers) Luxembourg S.A.";""
"A.I.B. All Insurance Broker S.r.l.";"A.I.B. All Insurance Broker S.r.l.";"PISTOIA"
"A.J. Driessen B.V.";"A.J. Driessen & Rappange Verzekeringen, A.J. Driessen B.V.";"AMSTERDAM"
"A.J. van de Graaf B.V.";"Adviescentrum van de Graaf, A.J. van de Graaf B.V.";"ROTTERDAM"
"A.J. van Eck h.o.d.n. Van Bruggen Adviesgroep Coevorden";"A.J. van Eck h.o.d.n. Van Bruggen Adviesgroep Coevorden";"Klazienaveen"
"A.J.H. de Bruijn B.V.";"A.J.H. de Bruijn Assurantiën, A.J.H. de Bruijn bv, A.J.H. de Bruijn Intermediair, A.J.H. de Bruijn Personeels Management Desk, Pensioenservice Noord, A.J.H. de Bruijn B.V.";"GRONINGEN"
"A.J.I.L. C&P S.A.";"A.J.I.L. C&P S.A.";""
"A.J.M. Feijs Advies B.V.";"A.J.M. Feijs Advies B.V., Andre Feijs Financiele Planners";"MAASTRICHT"
"A.J.M. Jorissen Assurantiën";"A.J.M. Jorissen Assurantiën, A.J.M. Jorissen Assurantien";"Oudenbosch"
"A.J.P.M. van Noort B.V.";"A.J.P.M. van Noort B.V.";"GEMEENTE CAPELLE AAN DEN IJSSEL"
"A.M. Minicars";"A.M. Minicars";"Winschoten"
"A.M.A. SAS";"A.M.A. SAS";"CAGLIARI"
"A.M.M. Duijndam-v.d. Hoeven";"A.M.M. Duijndam-v.d. Hoeven";"Delft"
"A.R.T. Assurantiën B.V.";"A.R.T Assurantiën B.V., ARTPLEIN, A.R.T. Assurantiën B.V., ToekomstNu";"NIEUWEGEIN"
"A.S.M. van Tulder en Co.";"A.S.M. van Tulder en Co.";"Amstelveen"
"A.T. Verzekeringen B.V.";"A.T. Verzekeringen B.V.";"WESTERVOORT"
"A.T. Verzekeringsgroep B.V.";"AT Verzekeringsgroep BV, AT Verzekeringsgroep B.V.";"WESTERVOORT"
"A.T.C. Helden V.O.F.";"A.T.C. Helden V.O.F., A.T.C. Autoservice";"BERINGE"
"A.W. Roose Onroerend Goed B.V.";"A.W.  Roose Onroerend Goed B.V., A.W. Roose Onroerend Goed B.V.";"ZOUTELANDE"
"A.W.H.M. van Buuren";"Tweewielers Guus van Buuren, A.W.H.M. van Buuren";"Berlicum"
"A.Z. Pensioeninzicht";"A.Z. Pensioeninzicht, Bouwhuis Assurantien, Pensioen Inzicht, A.Z. Financieel Inzicht";"Joure"
"A+WB Assurantiën";"Dutch INTERactive Financiele diensverlening, Dutch INTERactive, A+WB Assurantiën";"Oosterbeek"
"A1 Broker S.P.A.";"A1 Broker S.P.A.";""
"A1 Hypotheken B.V.";"A1 Hypotheken B.V.";"ZOETERMEER"
"A1B";"A1B Adviesgroep, A1B Financiele Diensten, A1B Groep, A1B Hypotheken, A1B Internetdiensten, A1B Krediet, A1B Leasing, A1B Makelaardij, A1B Verzekeringen, Budget Kaart, A1B, A1B Autolening";"Ede"
"A2 Assurantiën B.V.";"A2 Assurantiën B.V.";"GEMEENTE ABCOUDE"
"A3Roest Tweewielers";"A3Roest Tweewielers, A3Roest Tweewielers";"Krimpen aan de Lek"
"A3-Visie";"A3-Visie, A3-visie";"Hulst"
"Aa & Hunze Assurantiën en Hypotheken B.V.";"Finalinq Drenthe, Finalinq Groningen, Aa & Hunze Assurantiën en Hypotheken B.V., Namaco financiele diensten Groningen";"GIETEN"
"AAA Insurance & Reinsurance Brokers Ltd";"AAA Insurance & Reinsurance Brokers Ltd";""
"AA-assurantie B.V.";"AA-assurantie B.V.";"ALPHEN AAN DEN RIJN"
"Aabell Budgetbegeleiding & Bewindvoering v.o.f.";"Aabell Budgetbegeleiding & Bewindvoering v.o.f.";"Barendrecht"
"Aachener Bausparkasse A.G.";"Aachener Bausparkasse A.G.";"Aachen"
"AACT AUXILIAIRE DE L'ASSURANCE ET DU CONTENTIEUX TRANSPORT";"AACT AUXILIAIRE DE L'ASSURANCE ET DU CONTENTIEUX TRANSPORT";"Marseille"
"Aad Mechielsen Assurantie Adviesbureau";"Aad Mechielsen Assurantie Adviesbureau, Aad Mechielsen Assurantie Adviesbureau, Aad Mechielsen Bedrijfsverzekeringen, Aad Mechielsen Verzekeringen";"Oosthuizen"
"Aad van der Burg B.V.";"Aad van der Burg B.V.";"WESTLAND"
"A-Advies B.V.";"A-Advies B.V.";"UTRECHT"
"Aaldering Assurantiën";"Aaldering Assurantiën, Aaldering Assurantien, Aaldering Assurantiën, Ineke Kleinmeulman Verzekeringen en Pensioenen";"Neede"
"Aaldring Financieel Advies";"Aaldring Financieel Advies, hypotheekprofijt";"Heerhugowaard"
"Aalsterweg Hypotheken B.V.";"Freek Hypotheek Eindhoven, Aalsterweg Hypotheken B.V., Beemdstraat Hypotheken";"EINDHOVEN"
"Aal-Storteboom Dieren B.V.";"Aal-Storteboom Dieren B.V.";"RHEDEN"
"Aalten Car Service B.V.";"Aalten Car Service B.V.";"AALTEN"
"Aanbiedingsfiets.nl B.V.";"Aanbiedingsfiets.nl B.V.";"GEMEENTE LEIDEN"
"Aandacht Financiële Planners B.V.";"Aandacht Financiële Planners, Aandacht Financiële Planners B.V. / Aandacht Hypotheken, Aandacht Hypotheken, Aandacht Financiële Planners B.V.";"'S-GRAVENHAGE"
"Aangenaam Bewind";"Aangenaam Bewind";"Warmenhuizen"
"Aankoopadvieshuis - Financieel Zeker";"Aankoopadvieshuis - Financieel Zeker";"Roermond"
"Aanpassingsbedrijf Bierman B.V.";"Aanpassingsbedrijf Bierman, Aanpassingsbedrijf Bierman B.V.";"LEIDEN"
"Aareal Hyp AG";"Aareal Hyp AG";"WIESBADEN"
"Aarendonk Assurantiën en Hypotheken";"Aarendonk Assurantiën en Hypotheken, Aarendonk Assurantie-adviseurs, Aarendonk Assurantien, Aarendonk Hypotheken";"IJsselstein"
"Aaron Tawny Mortgages Limited";"Aaron Towny Mortgages Limited, Aaron Tawny Mortgages Limited";"KETTERING - NORTHAMPTONSHIRE"
"Aarsen Assurantiën";"Aarsen Assurantiën";"Koog aan de Zaan"
"Aarsen Assurantiën B.V.";"Aarsen Assurantiën B.V.";"GEMEENTE ZAANSTAD"
"Aart Camperinbouw B.V.";"Aart Camperinbouw B.V.";"RAALTE"
"Aartman Assurantiën";"Aartman Assurantiën";"Noordwijkerhout"
"Aarts & van der Wouw Hypotheken Verzekeringen";"Aarts & van der Wouw Hypotheken Verzekeringen, Lancyr+ Aarts & Partners";"Tilburg"
"Aarts Risicoadvies B.V.";"Aarts Risicoadvies B.V.";"VEGHEL"
"Aa-Stad Adviesgroep B.V.";"Aa-Stad Adviesgroep B.V., Aa-Stad Assurantiën, Aa-Stad Vastgoed, Verzekeraktief.nl, Aastad Adviesgroep , Aa-Stad Verzekeringen-Hypotheken-Pensioenen, HypotheekCompany Aa-Stad";"ALMELO"
"Aat van Rhijn t.h.o.d.n. Rappórt Haaglanden Zuid";"Aat van Rhijn t.h.o.d.n. Rappórt Haaglanden Zuid";"'s-Gravenhage"
"AAVet Bedrijfsbegeleiding B.V.";"AAVet Bedrijfsbegeleiding B.V., a.a.-vet Bedrijfsbegeleiding bv";"GEMEENTE DE RONDE VENEN"
"A-B Bike";"A-B Bike";"Nieuwpoort"
"AB Cars";"AB Cars";"Eindhoven"
"A-B Groep, adviseurs financiële diensten B.V.";"A-B Groep, adviseurs financiële diensten B.V.";"BILTHOVEN"
"A-B Hypotheken, adviseurs financiële diensten B.V.";"A-B Hypotheken, adviseurs financiële diensten B.V.";"BILTHOVEN"
"AB Oranjewâld B.V.";"AB Oranjewâld, AB Oranjewâld B.V., AB Oranjewâld B.V.";"HEERENVEEN"
"AB S-Autoservice";"CarXpert ABS, Vakgarage ABS, AB S-Autoservice";"Barger-Compascuum"
"A-B Verzekeringen, adviseurs financiële diensten B.V.";"A-B Verzekeringen, adviseurs financiële diensten B.V.";"BILTHOVEN"
"AB Zorg en Zekerheid B.V.";"Abeos Zorg en Zekerheid, AB Oost Zorg en Zekerheid, AB Zorg en Zekerheid B.V.";"ALMEN"
"AB&F Beheer";"AB&F Beheer";"Emmeloord"
"AB2 Financieel Advies";"AB2 Financieel Advies, AB2 Financieel Advies";"Eindhoven"
"ABAB Belastingadviseurs en Juristen B.V.";"ABAB Belastingadviseurs en Juristen B.V., ABAB Pensioenadvies";"TILBURG"
"Abaco Insurance Brokers Ltd";"Abaco Insurance Brokers Ltd";"Leichester"
"Abacus Financial Management Limited";"Abacus Financial Management Limited";""
"Abacus Investment Solutions Ltd";"Abacus Investment Solutions Ltd";"BERKSHIRE"
"Abacus Wealth Planning Limited";"Abacus Wealth Planning Limited";"UPMINSTER - ESSEX"
"Abana, Unipessoal, Lda.";"Abana, Unipessoal, Lda.";"LISBOA"
"Abbas Supermarkt B.V.";"Abbas Supermarkt B.V.";"Gieten"
"ABC Adviesgroep Vaals B.V.";"ABC Adviesgroep Vaals B.V.";"VAALS"
"ABC Assurantiën";"ABC Assurantiën, ABC Advies, ABC Assurantiën, ABC Logistiek, www.bootpolis.nl";"De Rijp"
"ABC Consulting Financiele Diensten";"ABC Consulting Financiele Diensten, ABC Consulting Financiële Diensten";"Eindhoven"
"ABC Ewijk";"ABC Ewijk, ABC EWIJK";"Ewijk"
"ABC Pensioen B.V.";"ABC Pensioen B.V.";"DEDEMSVAART, GEMEENTE HARDENBERG"
"ABCA Accountancy";"ABCA Accountancy";"Heiligerlee"
"ABCS";"ABCS, ABCS, A.B.C.S. / Adviesbureau Bastiaansen C.S., Adviesbureau Bastiaansen c.s.";"Haren Gn"
"ABD Groep B.V.";"ABD Groep B.V., ABD Bosgra Beerda B.V., ABD Heerenveen, Autobedrijf Bosgra en Beerda";"DRACHTEN"
"Abel Assurantiën B.V.";"Abel Assurantiën B.V.";"SINT-OEDENRODE"
"Abel Financieel Advies";"Abel Financieel Advies";"Someren"
"Aben Automotive";"Aben Automotive";"Reuver"
"Aben en van de Schelde Zwolle B.V.";"Aben en van de Schelde Zwolle B.V.";"GEMEENTE ZWOLLE"
"ABF Adviesgroep B.V.";"Regioadviescentrum, ABF Adviesgroep B.V.";"GEMEENTE OLDENZAAL"
"ABF Assuradeuren B.V.";"ABF Assuradeuren B.V.";"FRANEKER"
"ABF Verzekeringen";"ABF Verzekeringen";"Muntendam"
"ABG ASSURANCES";"ABG ASSURANCES";"Lyon"
"ABG Assurantiën Nederland B.V.";"ABG Assurantiën Nederland B.V., ABG Assurantiën Nederland, t.h.o.d.n. VerVier, UVECO -  ABG Assurantiën";"ZWOLLE"
"ABI Advies";"ABI Advies";"Haarlem"
"ABIX AG";"ABIX AG";"FRANKFURT AM MAIN"
"ABN AMRO Assuradeuren B.V.";"ABN AMRO Assuradeuren B.V.";"ZWOLLE"
"ABN AMRO Bank (Ireland) Limited";"ABN AMRO Bank (Ireland) Limited";""
"ABN AMRO Bank (Luxembourg) S.A.";"ABN AMRO Bank (Luxembourg) S.A.";"KIRCHBERG"
"ABN AMRO Bank N.V.";"ABN AMRO Bank N.V.";"AMSTERDAM"
"ABN AMRO Captive N.V.";"ABN AMRO Captive N.V.";"AMSTERDAM"
"ABN AMRO Clearing Bank N.V.";"ABN AMRO Clearing Bank N.V., ABN AMRO Clearing Bank N.V.";"AMSTERDAM"
"ABN AMRO Groenbank B.V.";"ABN AMRO Groenbank B.V.";"AMSTERDAM"
"ABN AMRO Hypotheken Groep B.V.";"Direktbank, Direktbank Praktijkvoorziening, Direktbank Woninghypotheken, Direktbank Vastgoed Hypotheken, WoonNexxt Hypotheken, Florius, ABN AMRO Hypotheken Groep B.V., MNF Bank, Albank Hypotheekbank, Alkmaar Hypotheken, CombiVoordeel Hypotheken, Albank, Combi-Hypotheken";"AMERSFOORT"
"ABN AMRO Kredieten B.V.";"ABN AMRO Kredieten B.V.";"BUNNIK"
"ABN AMRO Levensverzekering N.V.";"ABN AMRO Levensverzekering N.V.";"ZWOLLE"
"ABN AMRO Pensioeninstelling N.V.";"Pensional, ABN AMRO Pensioeninstelling N.V., ABN AMRO Pensioenen";"AMSTERDAM"
"ABN AMRO Schadeverzekering N.V.";"ABN AMRO Schadeverzekering N.V.";"ZWOLLE"
